Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Seating_Capacity,Type,Power.1,Torque.1
Hyundai,Elite I20,Era 1.4 Crdi,"₹ 697,803.000000000000000",1396,4,45,Diesel,1505,3985,1734,Hatchback,5,Manual,90,220
Hyundai,Elite I20,Sportz Plus,"₹ 721,693.000000000000000",1197,4,45,Petrol,1505,3985,1734,Hatchback,5,Manual,84,115
Hyundai,Elite I20,Magna Plus,"₹ 634,950.000000000000000",1197,4,45,Petrol,1505,3985,1734,Hatchback,5,Manual,84,115
Hyundai,Elite I20,Magna Plus Crdi,"₹ 770,803.000000000000000",1396,4,45,Diesel,1505,3985,1734,Hatchback,5,Manual,90,220
Hyundai,Elite I20,Asta (O) 1.2,"₹ 808,993.000000000000000",1197,4,45,Petrol,1505,3995,1734,Hatchback,5,Manual,84,114
Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,"₹ 876,103.000000000000000",1396,4,45,Diesel,1505,3985,1734,Hatchback,5,Manual,90,220
Hyundai,Elite I20,Asta (O) Crdi,"₹ 934,003.000000000000000",1396,4,45,Diesel,1505,3985,1734,Hatchback,5,Manual,90,220
Hyundai,Elite I20,Sportz Plus Cvt,"₹ 831,693.000000000000000",1197,4,45,Petrol,1505,3985,1734,Hatchback,5,Manual,84,115
Hyundai,Elite I20,Sportz Plus Dual Tone,"₹ 751,693.000000000000000",1197,4,45,Petrol,1505,3985,1734,Hatchback,5,Manual,84,115
Hyundai,Elite I20,Asta (O) Cvt,"₹ 920,993.000000000000000",1197,4,45,Petrol,1505,3985,1734,Hatchback,5,Automatic,83,115
Hyundai,Elite I20,Sportz Plus Crdi,"₹ 846,103.000000000000000",1396,4,45,Diesel,1505,3985,1734,Hatchback,5,Manual,90,220
Toyota,Platinum Etios,Gd,"₹ 734,700.000000000000000",1364,4,45,Diesel,1510,4369,1695,Sedan,5,Manual,68,170
Toyota,Platinum Etios,V,"₹ 718,600.000000000000000",1496,4,45,Petrol,1510,4369,1695,Sedan,5,Manual,90,132
Toyota,Platinum Etios,G,"₹ 627,100.000000000000000",1496,4,45,Petrol,1510,4369,1695,Sedan,5,Manual,90,132
Toyota,Platinum Etios,Vd,"₹ 828,600.000000000000000",1364,4,45,Diesel,1510,4369,1695,Sedan,5,Manual,68,170
Toyota,Platinum Etios,Vx,"₹ 778,400.000000000000000",1496,4,45,Petrol,1510,4369,1695,Sedan,5,Manual,90,132
Toyota,Platinum Etios,Vxd,"₹ 888,400.000000000000000",1364,4,45,Diesel,1510,4369,1695,Sedan,5,Manual,68,170
Toyota,Platinum Etios,Gxd,"₹ 799,600.000000000000000",1364,4,45,Diesel,1510,4369,1695,Sedan,5,Manual,68,170
Toyota,Platinum Etios,Vx Limited Edition,"₹ 803,400.000000000000000",1496,4,45,Petrol,1510,4369,1695,Sedan,5,Manual,90,132
Toyota,Platinum Etios,Vxd Limited Edition,"₹ 913,400.000000000000000",1364,4,45,Diesel,1510,4369,1695,Sedan,5,Manual,68,170
Toyota,Platinum Etios,Gx,"₹ 689,600.000000000000000",1496,4,45,Petrol,1510,4369,1695,Sedan,5,Manual,90,132
Toyota,Etios Cross,Gd,"₹ 766,000.000000000000000",1364,4,45,Diesel,1555,3895,1735,Hatchback,5,Manual,68,170
Toyota,Etios Cross,Vd,"₹ 797,500.000000000000000",1364,4,45,Diesel,1555,3895,1735,Hatchback,5,Manual,68,170
Toyota,Etios Cross,V,"₹ 802,000.000000000000000",1496,4,45,Petrol,1555,3895,1735,Hatchback,5,Manual,90,132
Mahindra,Verito Vibe,D6,"₹ 750,428.000000000000000",1461,4,50,Diesel,1540,3991,1740,Hatchback,5,Manual,65,160
Mahindra,Verito Vibe,D4,"₹ 685,729.000000000000000",1461,4,50,Diesel,1540,3991,1740,Hatchback,5,Manual,65,160
Mahindra,Verito Vibe,D2,"₹ 657,628.000000000000000",1461,4,50,Diesel,1540,3991,1740,Hatchback,5,Manual,65,160
Toyota,Etios Cross,1.4 X Edition,"₹ 816,000.000000000000000",1364,4,45,Diesel,1555,3895,1735,Hatchback,5,Manual,68,170
Skoda,Superb Sportline,Sportline 2.0L Tdi At,"₹ 3,149,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,Sedan,5,Automatic,177,350
Skoda,Superb Sportline,Sportline 1.8L Tsi At,"₹ 2,899,599.000000000000000",1798,4,66,Petrol,1483,4861,1864,Sedan,5,Automatic,180,250
Fiat,Avventura,Multijet Dynamic,"₹ 796,132.000000000000000",1248,4,45,Diesel,1542,3989,1706,Crossover,5,Manual,93,209
Fiat,Avventura,Multijet Emotion,"₹ 876,341.000000000000000",1248,4,45,Diesel,1542,3989,1706,Crossover,5,Manual,93,209
Audi,A3,35 Tdi Technology,"₹ 3,221,200.000000000000000",1968,4,50,Diesel,1416,4456,1796,Sedan,5,Automatic,143,320
Audi,A3,35 Tdi Premium Plus,"₹ 3,021,200.000000000000000",1968,4,50,Diesel,1416,4456,1796,Sedan,5,Automatic,143,320
Mercedes-Benz,Mercedes-Benz B-Class,B 180 Sport,"₹ 2,988,311.000000000000000",1595,4,50,Petrol,1557,4393,1786,MPV,5,Automatic,122,200
Mercedes-Benz,Mercedes-Benz B-Class,B 180 Night Edition,"₹ 3,198,662.000000000000000",1595,4,50,Petrol,1557,4393,1786,MPV,5,Automatic,122,200
Mercedes-Benz,Mercedes-Benz B-Class,B 200 Cdi Night Edition,"₹ 3,303,282.000000000000000",2143,4,50,Diesel,1557,4393,1786,MPV,5,Automatic,136,300
Mercedes-Benz,Mercedes-Benz B-Class,B 200 Cdi Sport,"₹ 3,089,851.000000000000000",2143,4,50,Diesel,1557,4393,1786,MPV,5,Automatic,136,300
Mercedes-Benz,Mercedes-Benz Cla-Class,200 Sport,"₹ 3,599,000.000000000000000",1991,4,56,Petrol,1432,4630,1777,Sedan,5,Automatic,183,300
Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,"₹ 3,299,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,SUV,5,Automatic,177,350
Mercedes-Benz,Mercedes-Benz Cla-Class,200 D Sport,"₹ 3,699,000.000000000000000",2143,4,56,Diesel,1432,4630,1777,Sedan,5,Automatic,136,300
Skoda,Kodiaq,Laurin And Klement,"₹ 3,678,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,SUV,5,Automatic,148,340
Mercedes-Benz,Mercedes-Benz Cla-Class,200 Cdi Style,"₹ 3,172,000.000000000000000",2143,4,56,Diesel,1432,4630,1777,Sedan,5,Automatic,136,300
Mini,Clubman,Cooper S,"₹ 4,120,000.000000000000000",1998,4,0,Petrol,1441,4253,1801,Hatchback,5,Manual,192,280
